id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
92;762;Monty Python and the Holy Grail;[12, 35, 14];68;1975;91;['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson', 'Sandy Rose', 'Romilly Squire', 'Joni Flynn', 'Alison Walker', 'Loraine Ward', 'Anna Lanski', 'Sally Coombe', 'Vivienne MacDonald', 'Yvonne Dick', 'Daphne Darling', 'Fiona Gordon', 'Judy Lamb', 'Tracy Sneddon', 'Joyce Pollner', 'Mary Allen', 'Gloria Graham', 'Sylvia Taylor', 'Iain Banks', 'Julian Doyle', 'Margarita Doyle', 'Charles Knode', 'Zack Matalon', 'Scott Mike', 'William Palin', 'Terry Jones', 'Tom Raeburn', 'Brian Ross', 'Roy Forge Smith', 'Maggie Weston', 'John Thornton'];['holy grail', 'swordplay', 'england', 'monk', 'wedding reception', 'scotland yard', 'midnight movie', 'animal attack', 'camelot', 'round table', 'chapter', 'satire', 'parody', 'breaking the fourth wall', 'knight', 'king arthur', 'knights of the round table', '10th century', 'anarchic comedy', 'hilarious'];[646, 647, 657, 658, 667, 668, 682, 691, 692, 699, 703, 704, 707, 708, 712, 714, 747, 760, 763, 765]
120;500;Reservoir Dogs;[80, 53];37;1992;99;['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino', 'Rich Turner', 'David Steen', 'Tony Cosmo', 'Stevo Polyi', 'Michael Sottile', 'Robert Ruth', 'Lawrence Bender', 'Linda Kaye', 'Suzanne Celeste', 'Steven Wright', 'Laurie Lathem', 'Maria Strova', 'Burr Steers', 'Craig Hamann', 'Rowland Wafford', 'Scott McElroy', 'Gerard van Gent'];['escape', 'jewelry', 'psychopath', 'traitor', 'heist', 'thief', 'betrayal', 'plan gone wrong', 'gang', 'nonlinear timeline', 'warehouse', 'told in flashback', 'heist gone wrong', 'botched robbery', 'foreshadowing', 'rendezvous', 'iconic', 'uneasy alliance', 'rag tag group', 'based on short'];[270109, 759226, 269378, 1255089, 930181, 27118, 265964, 758770, 270005, 30815, 31546, 31553, 31583, 31592, 31604, 31624, 31640, 31644, 31671, 31696]
62;205;Hotel Rwanda;[18, 36, 10752];20;2004;121;"['Don Cheadle', 'Sophie Okonedo', 'Nick Nolte', 'Fana Mokoena', 'Joaquin Phoenix', 'Jean Reno', 'Desmond Dube', 'Ofentse Modiselle', 'Mathabo Pieterson', 'Hakeem Kae-Kazim', 'Tony Kgoroge', 'Lebo Mashile', 'Antonio David Lyons', 'Leleti Khumalo', 'Neil McCarthy', ""Mabutho 'Kid' Sithole"", 'Jeremiah Ndlovu', 'Mosa Kaiser', ""David O'Hara"", 'Lennox Mathabathe', 'Mothusi Magano', 'Simo Mogwaza', 'Cara Seymour', 'Roberto Citran', 'Mduduzi Mabaso', 'Harriet Lenabe', 'Xolani Mali', 'Rosie Motene']";['rwanda', 'refugee', 'refugee camp', 'militia', 'rwandan genocide', 'murder', 'slaughter', 'dead body', 'atrocity', 'african', 'cruelty', 'genocide', 'united nations', 'death', 'angry', 'aggressive', 'desperate', 'malicious', 'cautionary', 'factual', 'antagonistic', 'authoritarian', 'callous', 'commanding', 'foreboding', 'ominous'];[27256, 27271, 266468, 27135, 27142, 430360, 27655, 27836, 27899, 28734, 28746, 27450, 430043, 28167, 28171, 28249, 1252661, 267214, 430926, 1252265]
99;303;Notorious;[53, 10749, 9648];27;1946;103;['Cary Grant', 'Ingrid Bergman', 'Claude Rains', 'Leopoldine Konstantin', 'Louis Calhern', 'Alex Minotis', 'Reinhold Schünzel', 'Ivan Triesault', 'Eberhard Krumschmidt', 'Moroni Olsen', 'Ricardo Costa', 'Charles Mendl', 'Wally Brown', 'Fay Baker', 'Friedrich von Ledebur', 'Peter von Zerneck', 'Fred Nurney', 'Charles D. Brown', 'Eddie Bruce', 'Ben Erway', 'Donald Kerr', 'James Logan', 'Emmett Vogan', 'John Vosper', 'Alan Ward', 'Paul Bryar', 'George Lynn', 'Frank Marlowe', 'Howard Negley', 'Virginia Gregg', 'Bea Benaderet', 'Aileen Carlyle', 'Elizabeth Wilson', 'Almeda Fowler', 'Leota Lorraine', 'Sandra Morgan', 'Lillian West', 'Richard Clarke', 'Francis McDonald', 'Alfred Hitchcock', 'Frank McLure', 'Tom Coleman', 'Alfredo DeSa', 'Bess Flowers', 'Art Howard', 'Jeffrey Sayre', 'Bert Moorhouse', 'Gavin Gordon', 'Harry Hayden', 'Warren Jackson', 'Thomas Martin', 'Tina Menard', 'Howard M. Mitchell', 'Antonio Moreno', 'Garry Owen', 'Dink Trout', 'Lenore Ulric', 'Frank Wilcox', 'Bernice Barrett', 'Lulu Mae Bohrman', 'Candido Bonsato', 'Beulah Christian', 'William Gordon', 'Ted Kelly', 'Ramon Nomar', 'Louis Serrano', 'Patricia Smart', 'Herbert Wyndham'];['daughter', 'marriage proposal', 'nazi', 'undercover', 'espionage', 'atomic bomb', 'love at first sight', 'poison', 'spy', 'fbi', 'patriotism', 'rio de janeiro', 'wine cellar', 'staircase', 'film noir', 'black and white', 'millionaire', 'intoxication', 'american spy', 'spy thriller'];[27256, 27303, 266427, 266454, 27117, 27118, 27130, 27149, 27203, 27212, 27622, 27635, 27638, 27665, 925751, 27835, 27888, 27917, 28546, 28560]
29;524;Casino;[80, 18];27;1995;179;['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'John Bloom', 'Pasquale Cajano', 'Melissa Prophet', 'Bill Allison', 'Vinny Vella', 'Oscar Goodman', 'Catherine Scorsese', 'Philip Suriano', 'Erika von Tagen', 'Frankie Avalon', 'Steve Allen', 'Jayne Meadows', 'Jerry Vale', 'Joseph Rigano', 'Gene Ruffini', 'Dominick Grieco', 'Peter Conti', 'Cathy Scorsese', 'Steve Vignari', 'Paul Herman', 'Joey DePinto', 'Millicent Sheridan', 'Nobu Matsuhisa', 'Frankie J. Allison', 'Anthony Russell', 'John Manca', 'Ronald Maccone', 'Joseph P. Reidy', 'Joe La Due', 'Stuart Nisbet', 'Frank Adonis', 'Joseph Bono', 'Craig Vincent', 'Daniel P. Conte', 'David Rose', 'C.C. Carr', 'Clem Caserta', 'Jed Mills', 'Richard Riehle', 'Alfred Nittoli', 'Carl Ciarfalio', 'Jack Orend', 'Ffolliott Le Coque', 'Claudia Haro', 'Madeline Parquette', 'Nick Mazzola', 'Steve Schirripa'];['drug abuse', 'casino', 'based on novel or book', 'poker', 'italian american', 'gambling', '1970s', 'fbi', 'pimp', 'greed', 'cocaine', 'overdose', 'car bomb', 'rise and fall', 'money', 'murder', 'organized crime', 'mafia', 'jewish american', 'las vegas', 'desert', 'aggressive', '1980s', 'dramatic', 'suspenseful', 'frightened', 'brutal violence', 'fbi surveillance'];[1255559, 434728, 434731, 434741, 434775, 434781, 31142, 31152, 31174, 31179, 269776, 269783, 269804, 269820, 269861, 434371, 434392, 434404, 434457, 591242]
6;702;A Streetcar Named Desire;[18, 53];23;1951;125;"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter', 'Karl Malden', 'Rudy Bond', 'Nick Dennis', 'Peg Hillias', 'Wright King', 'Richard Garrick', 'Ann Dere', 'Edna Thomas', 'Mickey Kuhn', 'Mel Archer', 'Walter Bacon', 'Dahn Ben Amotz', 'Marietta Canty', 'John George', 'John Gonetos', 'Chester Jones', 'Lyle Latell', 'Joe Brooks', 'Mike Morelli', ""William H. O'Brien"", 'Maxie Thrower', 'Charles Wagenheim', 'John B. Williams', 'Buck Woods']";['loss of sense of reality', 'rape', 'sibling relationship', 'southern usa', 'brother-in-law', 'violent husband', 'new orleans, louisiana', 'family relationships', 'black and white', 'light bulb', 'expectant father', 'sister sister relationship'];[27288, 266423, 27100, 27103, 27117, 27118, 27220, 27635, 27636, 28574, 28580, 431518, 27367, 27389, 431116, 28273, 589035, 431002, 1252320, 755103]
126;111;Scarface;[28, 80, 18];85;1983;169;"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia', 'Miriam Colon', 'F. Murray Abraham', 'Paul Shenar', 'Harris Yulin', 'Ángel Salazar', 'Arnaldo Santana', 'Pepe Serna', 'Michael P. Moran', 'Al Israel', 'Dennis Holahan', 'Mark Margolis', 'Michael Alldredge', 'Ted Beniades', 'Richard Belzer', 'Paul Espel', 'John Brandon', 'Tony Perez', 'Garnett Smith', 'Loren Almaguer', 'Gil Barreto', 'Heather Benna', 'Sue Bowser', 'Tina Leigh Cameron', 'Victor Campos', 'Robert Hammer Cannerday', 'Rene Carrasco', 'Albert Carrier', 'John Carter', 'Richard Caselnova', 'Gary Carlos Cervantes', 'Carlos Augusto Cestero', 'Johnny Contardo', 'Roberto Contreras', 'Caesar Cordova', 'Gregory Cruz', ""Dante D'Andre"", 'Richard Delmonte', 'Wayne Doba', 'Michel François', 'Ben Frommer', 'Edward R. Frommer', 'John Gamble', 'Troy Isaacs', 'Ronald G. Joseph', 'Mario Machado', 'Joe Marmo', 'Ray Martel', 'John McCann', 'Richard Mendez', 'Victor Millan', 'Santos Morales', 'Mike Moroff', 'Angela Nisi', 'Manuel Padilla Jr.', 'Tony Pann', 'Ilka Tanya Payán', 'Barbra Perez', 'Michael Rougas', 'Anthony Saenz', 'Geno Silva', 'Arnold Tafolla', 'Charles A. Tamburro', 'Jim Towers', 'Robert Vandenberg', 'Bob Yanez', 'Angela Aames', 'Nancy Lee Andrews', 'Dona Baldwin', 'Lee Benton', 'Cynthia Burr', 'Lana Clarkson', 'Karen Criswell', 'Margo Kelly', 'Ava Lazar', 'Emilia Crow', 'Marii Mak', 'Shelley Taylor Morgan', 'Catharine Richardson', 'Pat Simmons', 'Terri Taylor', 'Charlie Adiano', 'Lisa Katz', 'Jeanette Linne', 'Margaret Michaels', 'Rhonda Sandberg', 'Katt Shea', 'Marcia Wolf', 'Barclay DeVeau', 'Charles Durning', 'Dennis Franz', 'Linda Gillen', 'Gregg Henry', 'Kevyn Major Howard', 'Henry Kingi', 'Brett Ratner', 'Marcus Shirock', 'Maxine Wasa', 'Tammy Lynn Leppert']";['corruption', 'sibling relationship', 'miami, florida', 'cuba', 'loss of loved one', 'gangster', 'cocaine', 'rise and fall', 'remake', 'drug cartel', 'mafia', 'drug lord', 'bitterness', 'rise to power', 'miami beach', 'cuban refugees', 'drug war', 'frightened', 'inflammatory'];[564183, 643, 644, 650, 654, 655, 663, 665, 678, 680, 681, 695, 702, 703, 709, 710, 711, 744, 745, 755]
9;143;All Quiet on the Western Front;[18, 10752];43;1930;133;"['Louis Wolheim', 'Lew Ayres', 'John Wray', 'Arnold Lucy', 'Ben Alexander', 'Scott Kolk', 'Owen Davis Jr.', 'Walter Rogers', 'William Bakewell', 'Russell Gleason', 'Richard Alexander', 'Harold Goodwin', 'Slim Summerville', 'G. Pat Collins', 'Beryl Mercer', 'Edmund Breese', 'Ernie Adams', 'Marion Clayton Anderson', 'Poupée Andriot', 'Vince Barnett', 'Daisy Belmore', 'Glen Boles', 'Heinie Conklin', ""Yola d'Avril"", 'Renée Damonde', 'Arthur Gardner', 'Raymond Griffith', 'Ellen Hall', 'William Irving', 'Frederick Kohner', 'Frank Leichtfried', 'Tom London', 'Bertha Mann', 'Joan Marsh', 'Edwin Maxwell', 'Jack McHugh', 'Maurice Murphy', 'Robert Parrish', 'Bodil Rosing', 'Wolfgang Staudte', 'Jack Sutherland', 'David Tyrell', 'Dorothy Vernon', 'Fred Zinnemann']";['friendship', 'army', 'based on novel or book', 'germany', 'disillusion', 'world war i', 'steel helmet', 'patriotism', 'boot camp', 'battlefield', 'atrocity', 'black and white', 'soldier', 'combat', 'warfare', 'death', 'pre-code', 'anti war', 'mud', 'trenches', 'young soldier', 'battlefield trauma', 'philosophical depiction of war'];[27332, 266417, 266420, 266436, 266541, 754582, 754609, 754359, 754364, 27123, 27191, 27197, 1251832, 588564, 27621, 27635, 430578, 588767, 27836, 27857]
16;28;Apocalypse Now;[18, 10752];96;1979;147;['Martin Sheen', 'Frederic Forrest', 'Albert Hall', 'Laurence Fishburne', 'Sam Bottoms', 'Marlon Brando', 'Robert Duvall', 'Dennis Hopper', 'G. D. Spradlin', 'Harrison Ford', 'Jerry Ziesmer', 'Scott Glenn', 'James Keane', 'Kerry Rossall', 'Tom Mason', 'Cynthia Wood', 'Colleen Camp', 'Linda Carpenter', 'Aurore Clément', 'Jack Thibeau', 'Glenn Walken', 'Damien Leake', 'Marc Coppola', 'Bill Graham', 'Jerry Ross', 'Charles Robinson', 'Nick Nicholson', 'Don Gordon Bell', 'Evan A. Lottman', 'R. Lee Ermey', 'Jim Gaines', 'Vittorio Storaro', 'Francis Ford Coppola', 'Henry Strzalkowski', 'Herb Rice', 'Joe Estevez', 'Bo Byers', 'Frank Villard'];['guerrilla warfare', 'epic', 'vietnam war', 'journalist', 'mission', 'vietnam', 'vietcong', 'central intelligence agency (cia)', 'cambodia', 'army', 'drug abuse', 'based on novel or book', 'secret mission', 'insanity', 'surrealism', 'tribe', 'green beret', 'jungle', 'descent into madness', 'brutality', 'riverboat', 'military', 'anti war'];[27332, 266423, 754582, 754609, 588147, 754364, 27146, 27197, 1251832, 588564, 27621, 430578, 588767, 27836, 27857, 27874, 27899, 27920, 28580, 28638]
72;77338;Intouchables;[18, 35];77;2011;113;['François Cluzet', 'Omar Sy', 'Dominique Henry', 'Anne Le Ny', 'Clotilde Mollet', 'Alba Gaïa Bellugi', 'Audrey Fleurot', 'Cyril Mendy', 'Christian Ameri', 'Marie-Laure Descoureaux', 'Salimata Kamate', 'Absa Diatou Toure', 'Dominique Daguier', 'François Caron', 'Thomas Solivérès', 'Grégoire Oestermann', 'Dorothée Brière', 'Joséphine de Meaux', 'Émilie Caen', 'Caroline Bourg', 'Sylvain Lazard', 'Jean-François Cayrey', 'Ian Fenelon', 'Renaud Barse', 'François Bureloup', 'Nicky Marbot', 'Benjamin Baroche', 'Jérôme Pauwels', 'Antoine Laurent', 'Fabrice Mantegna', 'Hedi Bouchenafa', 'Michel Winogradoff', 'Elliot Latil', 'Yun-Ping He', 'Kévin Wamo', 'Pierre-Laurent Barneron', 'Philippe Pozzo di Borgo'];['friendship', 'male friendship', 'based on true story', 'masseuse', 'aristocrat', 'paragliding', 'interracial friendship', 'unlikely friendship', 'duringcreditsstinger', 'quadriplegic', 'quadriplegia', 'feel good', 'intouchables'];[893705, 1224037, 1063926, 1059064, 205775, 1055736, 1055406, 1216597, 1055859, 399121, 211672, 717553, 891083, 712128, 718623, 892050, 719256, 892415, 718930, 716594]
