id;tmdb;title;genres;popularity;year;runtime;cast;keywords;similar
117;567;Rear Window;['Thriller', 'Mystery'];28;1954;112;['James Stewart', 'Grace Kelly', 'Wendell Corey'];[];[572600, 8997, 9009]
83;100;Lock, Stock and Two Smoking Barrels;['Comedy', 'Crime'];14;1998;105;['Vinnie Jones', 'Jason Flemyng', 'Dexter Fletcher'];[];[11564, 743276, 12560]
42;1417;El laberinto del fauno;['Fantasy', 'Drama', 'War'];46;2006;118;['Ivana Baquero', 'Sergi López', 'Maribel Verdú'];[];[22586, 22681, 22688]
92;762;Monty Python and the Holy Grail;['Adventure', 'Comedy', 'Fantasy'];29;1975;91;['Graham Chapman', 'John Cleese', 'Eric Idle'];[];[11561, 11570, 11573]
85;24238;Mary and Max;['Animation', 'Comedy', 'Drama'];67;2009;92;['Toni Collette', 'Philip Seymour Hoffman', 'Barry Humphries'];[];[929153, 588890, 427824]
111;680;Pulp Fiction;['Thriller', 'Crime'];116;1994;154;['John Travolta', 'Samuel L. Jackson', 'Uma Thurman'];[];[6473, 6536, 8923]
38;968;Dog Day Afternoon;['Crime', 'Drama', 'Thriller'];26;1975;125;['Al Pacino', 'John Cazale', 'Charles Durning'];[];[263339, 22597, 22613]
49;13;Forrest Gump;['Comedy', 'Drama', 'Romance'];85;1994;142;['Tom Hanks', 'Robin Wright', 'Gary Sinise'];[];[911598, 572488, 243600]
69;10775;無間道;['Drama', 'Action', 'Thriller'];16;2002;100;['Andy Lau Tak-Wah', 'Tony Leung Chiu-wai', 'Anthony Wong Chau-Sang'];[];[252708, 11565, 254003]
147;887;The Best Years of Our Lives;['Drama', 'Romance', 'War'];19;1946;171;['Dana Andrews', 'Fredric March', 'Harold Russell'];[];[252707, 11589, 12651]
118;223;Rebecca;['Mystery', 'Romance', 'Thriller'];16;1940;130;['Laurence Olivier', 'Joan Fontaine', 'George Sanders'];[];[911598, 572488, 736285]
47;550;Fight Club;['Drama'];96;1999;139;['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter'];[];[263341, 263371, 22649]
82;87827;Life of Pi;['Adventure', 'Drama'];47;2012;127;['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon'];[];[22683, 930383, 24192]
29;524;Casino;['Crime', 'Drama'];29;1995;179;['Robert De Niro', 'Sharon Stone', 'Joe Pesci'];[];[263341, 263371, 427796]
52;98;Gladiator;['Action', 'Drama', 'Adventure'];427;2000;155;['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen'];[];[11532, 11535, 11545]
37;68718;Django Unchained;['Drama', 'Western'];61;2012;165;['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio'];[];[578296, 11557, 11574]
45;275;Fargo;['Crime', 'Drama', 'Thriller'];34;1996;98;['Frances McDormand', 'William H. Macy', 'Steve Buscemi'];[];[252692, 578209, 11545]
